domain,fail_count,stages,error_types,last_institution,sample_url,sample_message
kr.louisvuitton.com,3,page,HTTPError,"루이 비통 비저너리 저니, LV 더 플레이스 서울",https://kr.louisvuitton.com/kor-kr/magazine/fashion-shows,HTTP Error 403: Forbidden
www.cafeshow.com,3,homepage,HTTPError,서울카페쇼,http://www.cafeshow.com/,HTTP request failed after retries: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1081)>
www.videoart.co.kr,3,homepage,RuntimeError,비디오아트,http://www.videoart.co.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
shareit.kr,3,homepage,RuntimeError,섬유센터 이벤트홀,https://shareit.kr/venue/17524,HTTP request failed after retries: <urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1081)>
류가헌.com,3,homepage,UnicodeEncodeError,사진위주 류가헌 갤러리,http://류가헌.com/,'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
modern-artgroup.com,3,homepage,RuntimeError,모던아트그룹,http://modern-artgroup.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.ecolonglong.or.kr,3,page,HTTPError,에코 롱롱 큐브 서울,http://www.ecolonglong.or.kr/sub_story_news_view,HTTP Error 400: Bad Request
samgaksan.gangbukcmc.seoul.kr,3,homepage,RuntimeError,강북문화예술회관,http://samgaksan.gangbukcmc.seoul.kr/sam/group01/page01.php,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.pinkribbonartcontest.co.kr,3,homepage,RuntimeError,에스티 로더 컴퍼니즈 유방암 캠페인 핑크리본 아트 위크,https://www.pinkribbonartcontest.co.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.bondavinci.com,3,homepage,HTTPError,본다빈치뮤지엄 능동,http://www.bondavinci.com/,HTTP Error 404: Not Found
noudit.com,3,homepage,RuntimeError,누디트 홍대,https://noudit.com/,HTTP request failed after retries: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1081)>
www.kaff.biz,3,homepage,HTTPError,한국건축산업대전,http://www.kaff.biz/,HTTP Error 404: Not Found
www.paradisetour.co.kr,3,homepage,RuntimeError,파라다이스 투어,http://www.paradisetour.co.kr/,HTTP request failed after retries: <urlopen error timed out>
www.buddhism.or.kr,3,homepage,RuntimeError,한국불교역사 문화기념관,http://www.buddhism.or.kr/index_history.php,HTTP request failed after retries: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1081)>
